Year,Location grown at,Country,Species,Height (ft),Height (m),Notes
1982,Alban Hills,Italy,Fir,,,
1983,Tyrol,Austria,,,,
1984,Waldmünchen,Germany,,,,
1985,South Tyrol,Italy,,,,
1986,Toblach,Italy,,,,
1987,Carinthia,Austria,,,,
1988,Cadore,Italy,,,,
1989,Schärding,Austria,,,,
1990,Ponte di Legno,Italy,,,,
1991,Vorarlberg,Austria,,,,
1992,South Tyrol,Italy,,,,
1993,Graz-Seckau,Austria,,,,
1994,Žilina,Slovakia,,,,
1995,Obertraubling,Germany,,,,
1996,Kočevje,Slovenia,,,,
1997,Zakopane,Poland,,,,Tree came from he garden of the Centrum Formacyjno-Szkoleniowe „Księżówka” w Zakopanem.
1998,Schwarzwald,Germany,,,,
1999,Moravka,Czech Republic,,,,
2000,Carinthia,Austria,,,,
2001,Transylvania,Romania,,,,"The Christmas tree came from Romania, with President Ion Iliescu present during the lighting ceremony.[30]"
2002,Gorski kotar,Croatia,Fir,92,28,
2003,Pré-Saint-Didier,Valle D’Aosta,Spruce,105,32,"A 98-foot-tall, 110-year-old spruce tree from the northern Italian region of Valle D'Aosta[28] The Christmas tree, along with twenty other smaller ones that have been placed in and around the Vatican, were the gifts of the northern Italian region of Valle D'Aosta to the Pope for Christmas 2003.Pope John Paul II spent seven summer vacations in Valle D'Aosta, and one large Alpine mountain on the border with France has been named after him. The tree was symbolically presented to the Pope by three hundred people from Valle D’Aosta, including the governor of the region, at the general audience.[28]"
2004,Pinzolo,Italy,Fir,107,32.5,"A 100-year-old, 105-foot-tall Christmas tree brought down from the Italian Alps[27]"
2005,Afiesl,Austria,Fir,108,33,"The Christmas tree was donated by a group of Austrian pilgrims from the town of Afiesl, which is located in a province of Upper Austria. They also donated 32 small trees to decorate the papal apartments.[26]"
2006,Taverna,Italy,Fir,110,33.5,
2007,Val Badia,Italy,Fir,98,30,
2008,Municipality of Gutenstein,Austria,Norway Spruce,108,33,"120 years old tree. The Christmas Tree, which was 33 metres high and 120 years old, was donated by Austria.[23]"
2009,Wallonia,Belgium,Norway Spruce,98,30,"The tree was 90 years old, more than 30 meters high, weighed 14 tons, with a trunk circumference of 2.65 metres, and branches at the bottom spread out 8 metres[3][1]The giant tree came from a PEFC certified, sustainably managed Ardennes forests in the Belgian region of Wallonia near the town of Spa.[2][3] It was decorated with 2,000 gold and silver colored bulbs and 1,500 lights. The lights were turned on by two children from Belgium[20] during the opening ceremony held on 18 December 2009.[21] The tree was adorned with white and gold ornaments.[20]
The Belgian town of Spa also donated 40 small fir trees to decorate the halls and rooms of the Vatican City.[21]"
2010,Bolzano,Italy,Spruce,110,33.5,"94 years old tree.[18] The tree came from a PEFC certified, sustainable managed forest surrounding Lüsen in South Tyrol, northern Italy. It was lit in the presence of Pope Benedict XVI on 17 December.[19]"
2011,Zakarpattia Oblast,Ukraine,Spruce,98,30,"The tree was a gift from Ukraine, a spruce from the Zakarpattia Oblast, 30.5 meters high and with a trunk of 56 centimeters. It had more than 700 branches, which were decorated with 2,500 silver- and gold-colored baubles illuminated by white and yellow lights. It was raised on December 5 and inaugurated on December 16 in the presence of bishops from the Ukrainian Orthodox Church.[16][17]"
2012,Pescopennataro,Italy,Silver Fir,98,30,[15]
2013,Waldmünchen,Germany,Fir,82,25,"[14] This would be the second time this region donated a Christmas Tree, last being in 1984."
2014,Calabria,Italy,Fir,82,25,[13]
2015,Bavaria,Germany,Spruce,82,25,[12]
2016,Trento,Italy,Spruce,82,25,"The tree was illuminated by 18,000 LED lights and decorated with the ceramic ornaments, made by children in hospitals across Italy who are receiving treatment for cancer and other illnesses. The Christmas tree and the Nativity scene was lit on December 9.[11]"
2017,Gołdap,Poland,Spruce,69,21,[10]
2018,Pordenone,Italy,Spruce,75,23,[9]
2019,Veneto,Italy,Spruce,85,26,[8]
2020,Kočevje,Slovenia,Spruce,98,30,"The tree was 75 years old, weighed 7 tonnes and had a volume of 5.33 m³."
2021,Andalo,Italy,Picea abies,92,28,"On Friday, 10 December, the lighting of the tree took place along with the inauguration of the Nativity scene. The Vatican Governorate used sustainable low-energy LED lighting, as has been custom in the past years. Weighing eight tons, the tree was from a sustainable forestry management project in the northern Italian region of Trentino, and was a gift to the Vatican from the Trentino Delegation along with 600 wooden decorations handcrafted by Andalo artisans.[5][6][7]"
