Series id,Year,Period,Value
LEU0252881500,2012,Q05,768
LEU0252881500,2013,Q05,776
LEU0252881500,2014,Q05,791
LEU0252881500,2015,Q05,809
LEU0252881500,2016,Q05,832
LEU0252881500,2017,Q05,860
LEU0252881500,2018,Q05,886
LEU0252881500,2019,Q05,917
LEU0252881500,2020,Q05,984
LEU0252881500,2021,Q05,998
LEU0252881800,2012,Q05,854
LEU0252881800,2013,Q05,860
LEU0252881800,2014,Q05,871
LEU0252881800,2015,Q05,895
LEU0252881800,2016,Q05,915
LEU0252881800,2017,Q05,941
LEU0252881800,2018,Q05,973
LEU0252881800,2019,Q05,1007
LEU0252881800,2020,Q05,1082
LEU0252881800,2021,Q05,1097
LEU0252882700,2012,Q05,691
LEU0252882700,2013,Q05,706
LEU0252882700,2014,Q05,719
LEU0252882700,2015,Q05,726
LEU0252882700,2016,Q05,749
LEU0252882700,2017,Q05,770
LEU0252882700,2018,Q05,789
LEU0252882700,2019,Q05,821
LEU0252882700,2020,Q05,891
LEU0252882700,2021,Q05,912
LEU0254929400,2012,Q05,749
LEU0254929400,2013,Q05,748
LEU0254929400,2014,Q05,761
LEU0254929400,2015,Q05,762
LEU0254929400,2016,Q05,779
LEU0254929400,2017,Q05,798
LEU0254929400,2018,Q05,826
LEU0254929400,2019,Q05,856
LEU0254929400,2020,Q05,903
LEU0254929400,2021,Q05,925
LEU0252918500,2012,Q05,1165
LEU0252918500,2013,Q05,1194
LEU0252918500,2014,Q05,1193
LEU0252918500,2015,Q05,1230
LEU0252918500,2016,Q05,1259
LEU0252918500,2017,Q05,1279
LEU0252918500,2018,Q05,1324
LEU0252918500,2019,Q05,1367
LEU0252918500,2020,Q05,1421
LEU0252918500,2021,Q05,1452
LEU0252919100,2012,Q05,1066
LEU0252919100,2013,Q05,1108
LEU0252919100,2014,Q05,1101
LEU0252919100,2015,Q05,1137
LEU0252919100,2016,Q05,1156
LEU0252919100,2017,Q05,1173
LEU0252919100,2018,Q05,1198
LEU0252919100,2019,Q05,1248
LEU0252919100,2020,Q05,1305
LEU0252919100,2021,Q05,1334
LEU0252919700,2012,Q05,1373
LEU0252919700,2013,Q05,1389
LEU0252919700,2014,Q05,1386
LEU0252919700,2015,Q05,1403
LEU0252919700,2016,Q05,1444
LEU0252919700,2017,Q05,1470
LEU0252919700,2018,Q05,1521
LEU0252919700,2019,Q05,1567
LEU0252919700,2020,Q05,1624
LEU0252919700,2021,Q05,1658
